Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Precious Achiuwa\achiupr01,PF,21,MIA,53,2,12.3,2.0,3.7,.551,0.0,0.0,,2.0,3.7,.551,.551,1.0,1.9,.515,1.3,2.2,3.5,0.5,0.3,0.5,0.7,1.6,5.1
2,Jaylen Adams\adamsja01,PG,24,MIL,7,0,2.6,0.1,1.1,.125,0.0,0.3,.000,0.1,0.9,.167,.125,0.0,0.0,,0.0,0.4,0.4,0.3,0.0,0.0,0.0,0.1,0.3
3,Steven Adams\adamsst01,C,27,NOP,52,52,28.0,3.3,5.4,.618,0.0,0.1,.000,3.3,5.3,.625,.618,1.1,2.4,.448,3.8,5.2,9.0,2.0,0.9,0.7,1.4,2.0,7.7
4,Bam Adebayo\adebaba01,C,23,MIA,50,50,33.5,7.2,12.7,.566,0.0,0.2,.250,7.1,12.5,.570,.568,4.6,5.7,.806,2.3,6.9,9.2,5.2,1.0,1.1,2.7,2.3,19.0
5,LaMarcus Aldridge\aldrila01,C,35,TOT,26,23,25.9,5.4,11.4,.473,1.2,3.1,.388,4.2,8.3,.505,.525,1.6,1.8,.872,0.7,3.8,4.5,1.9,0.4,1.1,1.0,1.8,13.5
5,LaMarcus Aldridge\aldrila01,C,35,SAS,21,18,25.9,5.5,11.8,.464,1.3,3.6,.360,4.2,8.2,.509,.518,1.5,1.8,.838,0.8,3.7,4.5,1.7,0.4,0.9,1.0,1.7,13.7
5,LaMarcus Aldridge\aldrila01,C,35,BRK,5,5,26.0,5.0,9.6,.521,0.8,1.0,.800,4.2,8.6,.488,.563,2.0,2.0,1.000,0.4,4.4,4.8,2.6,0.6,2.2,1.4,2.2,12.8
6,Ty-Shon Alexander\alexaty01,SG,22,PHO,8,0,2.9,0.1,1.0,.125,0.1,0.8,.167,0.0,0.3,.000,.188,0.1,0.3,.500,0.0,0.4,0.4,0.1,0.0,0.0,0.0,0.1,0.5
7,Nickeil Alexander-Walker\alexani01,SG,22,NOP,41,10,20.8,3.9,9.2,.418,1.6,4.6,.348,2.3,4.7,.487,.504,1.0,1.3,.750,0.2,2.8,3.1,2.0,1.0,0.5,1.4,1.9,10.2
8,Grayson Allen\allengr01,SG,25,MEM,41,29,25.0,3.5,8.3,.426,2.3,5.6,.404,1.3,2.7,.473,.563,1.5,1.8,.863,0.4,2.8,3.2,2.2,1.0,0.2,1.0,1.4,10.9
9,Jarrett Allen\allenja01,C,22,TOT,46,28,28.8,4.8,7.5,.636,0.1,0.3,.385,4.7,7.2,.646,.643,3.5,5.0,.711,3.0,7.0,10.0,1.7,0.5,1.6,1.5,1.6,13.2
9,Jarrett Allen\allenja01,C,22,BRK,12,5,26.7,3.7,5.4,.677,0.0,0.0,,3.7,5.4,.677,.677,3.8,5.1,.754,3.2,7.3,10.4,1.7,0.6,1.6,1.8,1.8,11.2
9,Jarrett Allen\allenja01,C,22,CLE,34,23,29.6,5.2,8.3,.626,0.1,0.4,.385,5.0,7.9,.638,.635,3.4,4.9,.695,2.9,6.9,9.8,1.7,0.4,1.6,1.4,1.6,13.9
10,Al-Farouq Aminu\aminual01,PF,30,TOT,19,14,20.2,1.9,4.8,.396,0.4,1.7,.219,1.5,3.1,.492,.434,0.8,1.0,.842,1.1,4.1,5.1,1.5,0.9,0.5,1.4,1.3,5.0
10,Al-Farouq Aminu\aminual01,PF,30,ORL,17,14,21.6,2.1,5.2,.404,0.4,1.8,.226,1.7,3.4,.500,.444,0.8,1.0,.824,1.2,4.2,5.4,1.7,1.0,0.5,1.5,1.3,5.5
10,Al-Farouq Aminu\aminual01,PF,30,CHI,2,0,8.5,0.0,1.0,.000,0.0,0.5,.000,0.0,0.5,.000,.000,1.0,1.0,1.000,0.0,3.0,3.0,0.0,0.0,0.0,1.0,1.0,1.0
11,Kyle Anderson\anderky01,PF,27,MEM,52,52,27.2,4.5,9.7,.462,1.3,3.9,.348,3.1,5.8,.538,.532,2.0,2.6,.776,0.8,5.2,5.9,3.6,1.3,0.8,1.3,1.7,12.3
12,Giannis Antetokounmpo\antetgi01,PF,26,MIL,46,46,33.8,10.3,18.3,.565,1.1,3.7,.304,9.2,14.6,.631,.596,6.7,9.8,.684,1.7,9.5,11.2,6.1,1.2,1.3,3.7,2.8,28.5
13,Kostas Antetokounmpo\antetko01,PF,23,LAL,13,0,3.7,0.2,0.6,.375,0.0,0.0,,0.2,0.6,.375,.375,0.4,0.8,.455,0.3,1.0,1.3,0.1,0.2,0.3,0.8,0.5,0.8
14,Thanasis Antetokounmpo\antetth01,SF,28,MIL,43,2,11.0,1.5,2.8,.525,0.2,0.6,.292,1.3,2.3,.582,.553,0.4,0.9,.462,1.1,1.4,2.5,0.9,0.4,0.2,0.9,1.4,3.6
15,Carmelo Anthony\anthoca01,PF,36,POR,54,3,25.1,4.8,11.5,.413,1.7,4.5,.380,3.0,7.0,.435,.488,2.1,2.4,.876,0.5,2.7,3.2,1.6,0.7,0.6,1.0,2.1,13.3
16,Cole Anthony\anthoco01,PG,20,ORL,31,18,26.3,4.2,10.9,.385,1.0,3.3,.311,3.2,7.6,.417,.432,1.8,2.2,.838,0.9,3.7,4.5,4.0,0.6,0.4,1.9,2.1,11.3
17,OG Anunoby\anunoog01,SF,23,TOR,37,37,33.0,5.4,11.4,.473,2.3,5.8,.393,3.1,5.6,.556,.572,1.8,2.3,.765,1.4,4.3,5.7,2.0,1.6,0.7,1.8,2.7,14.8
18,Ryan Arcidiacono\arcidry01,PG,26,CHI,32,0,10.9,1.1,2.8,.385,0.5,1.6,.308,0.6,1.2,.487,.473,0.4,0.5,.750,0.1,1.5,1.6,1.3,0.2,0.0,0.2,1.1,3.1
19,Trevor Ariza\arizatr01,SF,35,MIA,15,12,25.7,2.8,7.4,.378,1.5,4.0,.367,1.3,3.4,.392,.477,1.2,1.5,.783,0.6,3.3,3.9,1.7,0.7,0.7,0.6,1.6,8.3
20,D.J. Augustin\augusdj01,PG,33,TOT,51,6,19.2,2.2,5.6,.385,1.3,3.5,.374,0.8,2.1,.402,.502,1.4,1.5,.932,0.4,1.3,1.6,3.3,0.5,0.0,1.1,1.0,7.0
20,D.J. Augustin\augusdj01,PG,33,MIL,37,6,19.3,1.9,5.2,.370,1.3,3.5,.380,0.6,1.7,.349,.497,1.0,1.1,.900,0.3,1.1,1.4,3.0,0.5,0.0,0.9,0.9,6.1
